編號,方向,編號,"收費區
設定里程",小車牌價,交流道(起),交流道(迄),,緯度(北緯),,經度(東經)
1,N,01F-029.3N,5.9,7,五股,三重,N,25.07479722,E,121.4729611
2,N,01F-033.9N,1.4,1.6,高公局,五股,N,25.068239,E,121.428764
3,N,01F-037.6N,6.5,7.8,林口(文化一路),高公局,N,25.058667,E,121.397306
4,N,01F-041.3N,1.4,1.6,林口(文化北路),林口(文化一路),N,25.065081,E,121.363444
5,N,01F-046.7N,6.8,8.1,桃園,林口(文化北路),N,25.047075,E,121.317761
6,N,01F-050.9N,3.2,3.8,機場系統(連接國2),桃園,N,25.027206,E,121.283072
7,N,01F-053.2N,2.9,3.4,中壢服務區,機場系統(連接國2),N,25.012944,E,121.266194
8,N,01F-055.7N,2.2,2.6,內壢,中壢服務區,N,24.998583,E,121.247722
9,N,01F-058.4N,5.1,6.1,中壢,內壢,N,24.980558,E,121.228944
10,N,01F-063.3N,2.6,3.1,平鎮系統(連接台66),中壢,N,24.949281,E,121.195594
11,N,01F-066.4N,2.3,2.7,幼獅,平鎮系統(連接台66),N,24.929544,E,121.176919
12,N,01F-068.1N,1.9,2.2,楊梅,幼獅,N,24.917967,E,121.167586
13,N,01F-075.0N,14.6,17.5,湖口,楊梅,N,24.893436,E,121.111731
14,N,01F-088.0N,7.3,8.7,竹北,湖口,N,24.848719,E,121.019031
15,N,01F-092.8N,3,3.6,新竹(光復路),竹北,N,24.808453,E,121.010306
16,N,01F-095.6N,2.5,3,新竹(科學園區),新竹(光復路),N,24.783944,E,121.003725
17,N,01F-104.5N,11,13.2,頭份,新竹系統(連接國3),N,24.727131,E,120.951897
18,S,01F-033.9S,1.4,1.6,五股,高公局,N,25.068239,E,121.428764
19,S,01F-037.6S,6.5,7.8,高公局,林口(文化一路),N,25.058667,E,121.397306
20,S,01F-041.3S,1.4,1.6,林口(文化一路),林口(文化北路),N,25.065081,E,121.363444
21,S,01F-046.7S,6.8,8.1,林口(文化北路),桃園,N,25.047075,E,121.317761
22,S,01F-050.9S,3.2,3.8,桃園,機場系統(連接國2),N,25.027206,E,121.283072
23,S,01F-053.2S,2.9,3.4,機場系統(連接國2),中壢服務區,N,25.012944,E,121.266194
24,S,01F-055.7S,2.2,2.6,中壢服務區,內壢,N,24.99858333,E,121.2477222
25,S,01F-057.8S,5.1,6.1,內壢,中壢,N,24.984414,E,121.233197
26,S,01F-063.3S,2.6,3.1,中壢,平鎮系統(連接台66),N,24.949281,E,121.195594
27,S,01F-066.4S,2.3,2.7,平鎮系統(連接台66),幼獅,N,24.929544,E,121.176919
28,S,01F-068.1S,1.9,2.2,幼獅,楊梅,N,24.917967,E,121.167586
29,S,01F-075.0S,14.6,17.5,楊梅,湖口,N,24.893436,E,121.111731
30,S,01F-088.0S,7.3,8.7,湖口,竹北,N,24.848719,E,121.019031
31,S,01F-092.8S,3,3.6,竹北,新竹(光復路),N,24.808453,E,121.010306
32,S,01F-095.0S,2.5,3,新竹(光復路),新竹(科學園區),N,24.789622,E,121.005247
33,S,01F-098.0S,2.8,3.3,新竹(科學園區),新竹系統(連接國3),N,24.763586,E,120.998861
34,S,01F-104.5S,11,13.2,新竹系統(連接國3),頭份,N,24.727131,E,120.951897
35,N,03F-044.7N,4.9,5.8,樹林,土城(連接台65),N,24.950503,E,121.412681
36,N,03F-049.8N,3.3,3.9,三鶯,樹林,N,24.943825,E,121.365275
37,N,03F-052.5N,3.7,4.4,鶯歌系統(連接國2),三鶯,N,24.936025,E,121.3419
38,N,03F-055.9N,8.4,10,大溪(連接台66),鶯歌系統(連接國2),N,24.930225,E,121.312458
39,N,03F-064.8N,5.5,6.6,龍潭,大溪(連接台66),N,24.878792,E,121.250839
40,N,03F-069.8N,7.9,9.4,關西服務區,龍潭,N,24.856558,E,121.208581
41,N,03F-078.3N,3,3.6,關西,關西服務區,N,24.797339,E,121.179128
42,N,03F-084.6N,11.1,13.3,竹林,關西,N,24.791439,E,121.125997
43,N,03F-096.1N,8.5,10.2,寶山,竹林,N,24.758442,E,121.030425
44,N,03F-099.6N,1.9,2.2,新竹系統(連接國1),寶山,N,24.755811,E,120.997269
45,S,03F-044.7S,4.9,5.8,土城(連接台65),樹林,N,24.950503,E,121.412681
46,S,03F-049.8S,3.3,3.9,樹林,三鶯,N,24.943825,E,121.365275
47,S,03F-052.5S,3.7,4.4,三鶯,鶯歌系統(連接國2),N,24.936025,E,121.3419
48,S,03F-055.9S,8.4,10,鶯歌系統(連接國2),大溪(連接台66),N,24.930225,E,121.312458
49,S,03F-064.8S,5.5,6.6,大溪(連接台66),龍潭,N,24.878792,E,121.250839
50,S,03F-069.8S,7.9,9.4,龍潭,關西服務區,N,24.856558,E,121.208581
51,S,03F-078.3S,3,3.6,關西服務區,關西,N,24.797339,E,121.179128
52,S,03F-084.6S,11.1,13.3,關西,竹林,N,24.791439,E,121.125997
53,S,03F-096.1S,8.5,10.2,竹林,寶山,N,24.758442,E,121.030425
54,S,03F-099.6S,1.9,2.2,寶山,新竹系統(連接國1),N,24.755811,E,120.997269